league_id,hometeam,awayteam,pool,record_count
1a38dce8-8f49-4b2e-beb8-3ac7a5a4e5ee,Cardiff Met Archers Senior Men I,Myerscough Basketball Academy Senior Men I,0(Pool A),1
1a38dce8-8f49-4b2e-beb8-3ac7a5a4e5ee,Cobham Cobras Senior Men,Barking Abbey Senior Men I,0(Pool B),1
1a38dce8-8f49-4b2e-beb8-3ac7a5a4e5ee,Liverpool Senior Men,St Helens Saints Senior Men,0(Pool A),1
1a38dce8-8f49-4b2e-beb8-3ac7a5a4e5ee,London Stars Senior Men,London Elite Senior Men I,0(Pool B),1
1a38dce8-8f49-4b2e-beb8-3ac7a5a4e5ee,Manchester Magic Senior Men I,Oxford Hoops Senior Men,0(Pool A),1
